country,year,gdp_deflator_index_weo,gdp_nominal_weo,gdp_real_growth,gdp_real_level_weo,ppp_gdp,gdp_deflator_inflation_weo,gdp_nominal_wb,gdp_real_wb,ppp_gdp_wb,gdp_deflator_inflation_wb,broad_money_current_lcu_wb,broad_money_gdp_wb,gross_savings_gdp_wb,lending_rate_wb,policy_rate_nominal,fx_real_change,household_debt_gdp,private_debt_gdp,m2_nominal_bcra,market_rate_proxy_bcra,natural_rate_hlw,natural_rate_lm,investment_total_nominal,investment_sensitive_nominal,m3_nominal_oecd,yield_10y_nominal_oecd,m2_nominal_bdl,m3_nominal_bdl,debt_gdp,tax_revenue_gdp,interest_paid_gdp,overall_balance_gdp,primary_balance_gdp,gdp_nominal,gdp_real,gdp_deflator_inflation,broad_money_gdp,private_savings_gdp,inflation_target,reserve_currency_flag,threshold_debt_gdp,debt_nominal,tax_revenue_nominal,interest_paid_nominal,m2_nominal,money_source,housing_credit_share,idec_source,avg_debt_nominal,effective_nominal_rate_raw,inflation_forward_12m,yield_source,yield_10y_nominal,policy_source,hlw_source,real_market_rate,m2_to_gdp_ratio,natural_rate_favar,natural_rate_hp,natural_rate_gdp_trend
Italy,2010,88.853,,1.529,,2092130192358.4202,0.597792244551365,2144936254535.0,1909947188308.66,2092130192358.42,0.597839702916559,,,17.5631647113545,4.03166666666667,1.0,-4.070081889163967,43.05,123.925,,,1.0719984645380662,,327450.4,31665.5,,,,,118.737,45.637,4.090999999999999,-4.161,-0.07,2144936254535.0,1909947188308.66,0.597792244551365,,17.5631647113545,2.0,0,120.0,2546832960547.223,978884558482.138,87749342173.02684,,,0.3473875327819245,oecd_table8_activity,2556254123313.951,3.4327315650162276,1.7286979618020837,realized_funding_cost_proxy,3.4327315650162276,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.7286979618020837,,-1.3472407226236167,-0.18295267281324867,-0.3076
Italy,2011,90.389,,0.695,,2184513771818.95,1.7286979618020837,2306974020278.21,1923230167272.61,2184513771818.95,1.72878370885738,,,17.9410944726436,4.59916666666667,1.25,-0.05558555410857258,43.325,123.625,,,1.1887457056958801,,329961.7,31940.5,,,,,119.106,45.502,4.414,-3.524,0.89,2306974020278.21,1923230167272.61,1.7286979618020837,,17.9410944726436,2.0,0,120.0,2747744476592.565,1049719318706.9912,101829833255.08018,,,0.3504550050556118,oecd_table8_activity,2647288718569.894,3.8465707401227553,1.701534478752964,realized_funding_cost_proxy,3.8465707401227553,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.45153447875296404,,0.32914770392602555,-0.4770419374899045,-0.5284
Italy,2012,91.927,,-3.125,,2183804737265.14,1.701534478752964,2097929495121.68,1863124632394.25,2183804737265.14,1.70237982317502,,,17.765776868457,5.2225,0.875,-1.7821105655400293,43.275,124.225,,,0.7794493943956682,,301798.7,28230.9,,,,,125.87,47.495,4.951,-2.985,1.966,2097929495121.6797,1863124632394.25,1.701534478752964,,17.765776868457,2.0,0,120.0,2640663855509.6587,996411613708.0417,103868489303.47437,,,0.3483598309519018,oecd_table8_activity,2694204166051.112,3.855256799476862,1.1258933719146658,realized_funding_cost_proxy,3.855256799476862,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.25089337191466576,,0.39015246202265963,-0.3544268309886358,-1.4458
Italy,2013,92.962,,-1.818,,2198918891792.88,1.1258933719146658,2153225581941.46,1829252558793.34,2198918891792.88,1.12578403623358,,,18.0406950985891,5.14416666666667,0.5416666666666666,1.4528510989411103,43.25,123.825,,,0.42654812919775253,,280671.0,5132.5,,,,,131.816,48.026,4.621,-2.875,1.746,2153225581941.46,1829252558793.34,1.1258933719146658,,18.0406950985891,2.0,0,120.0,2838295833091.955,1034108117983.2056,99500554141.51486,,,0.34928326266908943,oecd_table8_activity,2739479844300.8066,3.6320965948523063,0.9025193089649441,realized_funding_cost_proxy,3.6320965948523063,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.3608526422982775,,-0.6237833037629217,-0.41232880558909196,-1.6047999999999998
Italy,2014,93.801,,-0.001,,2211700088150.52,0.9025193089649441,2173255507985.84,1829227175768.29,2211700088150.52,0.902550708834269,,,18.826407973646,4.86666666666667,0.15833333333333333,0.002392058366229577,42.5,122.125,,,0.23721751021558324,,275476.2,5337.2,,,,,134.755,47.897,4.379,-2.819,1.56,2173255507985.8403,1829227175768.29,0.9025193089649441,,18.826407973646,2.0,0,120.0,2928570459786.3193,1040924190659.9779,95166858694.69994,,,0.34800409416581374,oecd_table8_activity,2883433146439.137,3.3004704413634545,0.783573735887666,realized_funding_cost_proxy,3.3004704413634545,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.6252404025543327,,-1.4835916734021566,-0.7280982627012843,-0.5439999999999999
Italy,2015,94.536,,0.886,,2251646419220.95,0.783573735887666,1845428048839.1,1845428048839.1,2251646419220.95,0.782776477740896,,,18.520966373083,4.12925,0.05000000000000001,-4.823071648407717,41.875,119.475,,,0.4173601188623993,,284103.1,5658.6,,,,,134.746,47.785,3.938,-2.459,1.479,1845428048839.1,1845428048839.1,0.783573735887666,,18.520966373083,2.0,0,120.0,2486640478688.734,881837793137.7639,72672956563.28375,,,0.35049173467252565,oecd_table8_activity,2707605469237.5264,2.684030498126774,1.2482017432512427,realized_funding_cost_proxy,2.684030498126774,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-1.1982017432512426,,-1.1042635914889716,-0.8414996973497747,-0.6725999999999999
Italy,2016,95.716,,1.236,,2433618302347.89,1.2482017432512427,1887111188176.93,1868241619489.51,2433618302347.89,1.24817184167345,,,20.1787269725474,3.49616666666667,0.008333333333333333,0.582228216706171,41.3,115.2,,,0.3567876608698325,,294828.8,6291.5,,,,,134.195,46.575,3.743,-2.405,1.338,1887111188176.93,1868241619489.51,1.2482017432512427,,20.1787269725474,2.0,0,120.0,2532408858974.0312,878922035893.4053,70634571773.46248,,,0.3585069444444444,oecd_table8_activity,2509524668831.383,2.8146593915075986,0.7093902795770823,realized_funding_cost_proxy,2.8146593915075986,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.701056946243749,,-1.1057181276026895,-0.9899512124552512,-0.5644
Italy,2017,96.395,,1.604,,2528635516998.96,0.7093902795770823,1970720904584.71,1898202609462.08,2528635516998.96,0.709821715080693,,,20.6110559036563,3.00083333333333,0.0,0.3989538912579915,40.8,111.5,,,0.6249486735780885,,306672.5,8188.4,,,,,133.689,46.274,3.605,-2.509,1.096,1970720904584.71,1898202609462.08,0.7093902795770823,,20.6110559036563,2.0,0,120.0,2634637070130.253,911931391387.5287,71044488610.2788,,,0.36591928251121075,oecd_table8_activity,2583522964552.142,2.7499073778349197,1.0705949478707621,realized_funding_cost_proxy,2.7499073778349197,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-1.0705949478707621,,-0.43983749765103175,-0.9395298671069731,0.3814000000000001
Italy,2018,97.427,,0.827,,2609651815348.66,1.0705949478707621,2099435266458.67,1913894038926.83,2609651815348.66,1.07058151640653,,,21.1865535291719,2.68,0.0,1.2924848394348931,40.675,109.425,,,0.5307240719782932,,319499.8,6800.8,,,,,134.138,46.129,3.481,-2.192,1.289,2099435266458.67,1913894038926.83,1.0705949478707621,,21.1865535291719,2.0,0,120.0,2816140477722.3306,968448494064.7198,73081341625.4263,,,0.37171578706876857,oecd_table8_activity,2725388773926.292,2.6815015283174706,1.0469377072064079,realized_funding_cost_proxy,2.6815015283174706,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-1.0469377072064079,,-1.4086685525049365,-1.2316770691992736,0.9104000000000001
Italy,2019,98.447,,0.429,,2787073032822.59,1.0469377072064079,2019606796583.53,1922107755078.16,2787073032822.59,1.04700690430435,,,21.501623631916,2.6025,0.0,-2.0843400135953094,40.975,108.17500000000001,,,0.50163728426141,,327062.5,7315.9,,,,,133.823,46.974,3.1879999999999997,-1.45,1.738,2019606796583.53,1922107755078.16,1.0469377072064079,,21.501623631916,2.0,0,120.0,2702698403391.9775,948690096627.1473,64385064675.08293,,,0.3787843771666281,oecd_table8_activity,2759419440557.1543,2.333282998908022,1.5774985525206509,realized_funding_cost_proxy,2.333282998908022,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-1.5774985525206509,,-2.1787062438706646,-1.302478753242357,0.9964000000000002
