FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-09,101.92,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-10,102.79,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-11,102.94,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-12,101.73,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-01,100.82,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-02,101.21,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-03,102.71,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-04,103.74,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-05,103.37,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-06,104.34,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-07,104.43,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-08,101.87,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-09,101.06,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-10,101.95,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-11,102.57,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2001-12,103.05,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-01,104.03,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-02,104.56,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-03,103.57,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-04,102.3,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-05,100.15,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-06,98.02,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-07,96.4,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-08,97.26,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-09,97.18,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-10,97.51,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-11,96.19,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2002-12,95.5,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-01,93.29,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-02,92.53,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-03,92.23,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-04,91.91,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-05,89.13,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-06,88.94,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-07,90.41,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-08,90.77,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-09,89.67,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-10,87.22,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-11,87.15,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2003-12,85.15,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-01,83.42,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-02,83.13,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-03,83.9,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-04,84.25,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-05,84.93,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-06,84.08,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-07,84.13,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-08,84.45,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2004-09,83.93,A,F,
